PART,NAME,BUY
1,complex,3.6
1,simple,4.4
2,complex,2
2,simple,4.2
3,complex,4
3,simple,4
4,complex,5.2
4,simple,3
5,complex,3.6
5,simple,5.2
6,complex,3.6
6,simple,4.8
7,complex,1
7,simple,1
8,complex,3.8
8,simple,4.6
9,complex,3.2
9,simple,4.6
10,complex,3.8
10,simple,4.6
11,complex,5
11,simple,4.8
12,complex,1.6
12,simple,2.8
13,complex,1.2
13,simple,2
14,complex,1
14,simple,1
15,complex,4
15,simple,4
16,complex,4.2
16,simple,4.2
17,complex,2.6
17,simple,3
18,complex,4.4
18,simple,5.4
19,complex,3.8
19,simple,5
20,complex,4
20,simple,4
21,complex,4
21,simple,4
22,complex,2.8
22,simple,4.2
